open,high,low,close,volume,date
306.51,306.51,306.51,306.51,307.0,2006-01-24 05:45:00
306.13,306.13,306.13,306.13,306.0,2006-01-25 05:45:00
306.28,306.28,306.28,306.28,306.0,2006-01-26 05:45:00
306.9,306.9,306.9,306.9,307.0,2006-01-30 05:45:00
309.04,309.04,309.04,309.04,309.0,2006-01-31 05:45:00
308.25,308.25,308.25,308.25,308.0,2006-02-01 05:45:00
308.92,308.92,308.92,308.92,309.0,2006-02-02 05:45:00
309.09,309.09,309.09,309.09,309.0,2006-02-05 05:45:00
309.09,309.09,309.09,309.09,309.0,2006-02-06 05:45:00
310.32,310.32,310.32,310.32,310.0,2006-02-07 05:45:00
312.63,312.63,312.63,312.63,313.0,2006-02-09 05:45:00
317.69,317.69,317.69,317.69,318.0,2006-02-12 05:45:00
325.96,325.96,325.96,325.96,326.0,2006-02-13 05:45:00
329.39,329.39,329.39,329.39,329.0,2006-02-14 05:45:00
325.9,325.9,325.9,325.9,326.0,2006-02-15 05:45:00
324.86,324.86,324.86,324.86,325.0,2006-02-16 05:45:00
325.35,325.35,325.35,325.35,325.0,2006-02-20 05:45:00
327.48,327.48,327.48,327.48,327.0,2006-02-21 05:45:00
329.82,329.82,329.82,329.82,330.0,2006-02-22 05:45:00
333.03,333.03,333.03,333.03,333.0,2006-02-23 05:45:00
337.58,337.58,337.58,337.58,338.0,2006-02-27 05:45:00
341.05,341.05,341.05,341.05,341.0,2006-02-28 05:45:00
343.28,343.28,343.28,343.28,343.0,2006-03-01 05:45:00
339.58,339.58,339.58,339.58,340.0,2006-03-02 05:45:00
339.58,339.58,339.58,339.58,340.0,2006-03-05 05:45:00
334.42,334.42,334.42,334.42,334.0,2006-03-06 05:45:00
332.28,332.28,332.28,332.28,332.0,2006-03-07 05:45:00
335.37,335.37,335.37,335.37,335.0,2006-03-08 05:45:00
337.87,337.87,337.87,337.87,338.0,2006-03-09 05:45:00
337.32,337.32,337.32,337.32,337.0,2006-03-12 05:45:00
339.79,339.79,339.79,339.79,340.0,2006-03-13 05:45:00
339.68,339.68,339.68,339.68,340.0,2006-03-15 05:45:00
339.34,339.34,339.34,339.34,339.0,2006-03-16 05:45:00
